ITS	Kingdom	Phylum	Class	Order	Family	Genus	Species
2c695f84dc5a34b3c86830b554f14704	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	unidentified	unidentified
21406ef3f191408fe729b63ce5cf5d9b	Fungi	Ascomycota	Sordariomycetes	Sordariales			
9589a4186e70b56c852377d7562d4789	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_albicans
f35f501fd3887c861639329692a0af5d	Fungi	Ascomycota	Sordariomycetes				
59712780fc887b4dd2f33edb23d45d51	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotrys	Stachybotrys_parvispora
524c2fbcd511927871c654b16a2ccd29	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycopsidaceae	Saccharomycopsis	Saccharomycopsis_vini
3ac64006a96c673e7b59c4e204babe65	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae		
2ed442f2b4b06a701ea21c178567a128	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	unidentified
e58a9848166d1d366cf1e0f2fd0c72c4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_penicillioides
5ba774b49686a5156d7d910618208615	Fungi	Ascomycota	Sordariomycetes				
a19b579599fe413c9e02fc35bb109cca	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Ascotricha	Ascotricha_chartarum
743bbcbe7e92adec46e412d20997c868	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
4969b714968843044292289c42999f85	Fungi	Ascomycota	Dothideomycetes				
ed6b49ec452f003a91e2b30eb15cdf6c	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	unidentified
5f9bf45dd00beb8120e7a96f63f7750d	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
0bb67970fa1f8d9c469f5a86a0fa5bbf	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_flavus
c008d54ddaf74aff05e87ed6a817f07c	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Schwanniomyces	Schwanniomyces_occidentalis
ad88f2c4e51d65f2c51a5e809956d22a	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Dekkera	Dekkera_anomala
54def5e96c6035c700f74ff1d55c2c75	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_lignorum
b3bf5b638806b10315e690a2cbe8133a	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
c2d52495e34a29ec5d2ca1deead5e9d1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Roussoella	Roussoella_solani
2f2f746cbddbcf7bcb70d6f76bcd7352	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
ec37327d5422a887b86aa0a78ed93ad5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_hordeicola
4298bdc259f82bbc5fbcb9701523cfa6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_hordeicola
6ab9ba98c41be3098a3a168e68d2db47	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_rugulosus
dd98cf91843800e994b0d84347587146	Fungi	Ascomycota					
3a5d4ebec4e7701b0482c5e3ea8cda16	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae		
6312b338a9d82e34545a21b712ac8bb4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gliocephalotrichum	Gliocephalotrichum_bulbilium
80d5c131067af98dc9f7a02c3d95332f	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Tetraplosphaeriaceae	Tetraplosphaeria	unidentified
b4ab25907e1828b2b3837fa4281cb9d4	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	unidentified	unidentified	unidentified
069d96f9abe579a410d0f20b96ccfbab	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	Aureobasidium_thailandense
dcd21e6d03e2f75036d2f905f0662ba0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Simplicillium	
399c26948613d67401fc14227be90aee	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
b694d293779c83d58f0ea33c9bd640eb	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_prosopidis
fed96c40d399b40d7473b2b6b74e7605	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae		
f01aa971109c20865885f1d49dcc52f4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unidentified	unidentified	unidentified
1d4a2aa02b2d9719d317ee73b7ba16ef	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	Nigrospora_oryzae
6a2879cf8c302069529b112701f4ef05	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	
65ef931b238d6c22be1c356fbc984164	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
2d7c86521a63e608809595931bdcd1a3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_virens
b1792056f547f59918553a992499ce71	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Elaphomycetaceae	Elaphomyces	Elaphomyces_favosus
5e52c227876eaf11960205333760c501	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
9e02023d41087d4931e24f385b759955	Fungi	Ascomycota					
f21d95cee4e0d6418bbbac9f436dbbfb	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_japonicus
9455352b4f68afd4525c87fea6c7721c	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Ophiostoma	
2543dd8ec108ba946069649982de4e33	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
b515410ffd021262fbaa81cf2f11ffb1	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
5fa75882956267693b388a3eb0e79844	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Gibellulopsis	Gibellulopsis_nigrescens
a2f49b2ad0d2db2f52a7f4d435e45259	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
94340db796af321f25d1c8f279a187d6	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	unidentified	unidentified
7e5d74ea8933d898818b9835989a24ea	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps_cylindrica
9971ffb4aa169c90e702c2dda8b1cd09	Fungi	Ascomycota	Sordariomycetes	Microascales	Ceratocystidaceae	Endoconidiophora	
1e6f1c69bc54e4b2751d7151c87ca3a8	Fungi	Ascomycota	Eurotiomycetes	Eurotiales			
8b7b0dc8b9f584b8f6ed56a571303ea3	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	Wickerhamomyces_onychis
541b07100e1ba5892837e7a3fcef55dc	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified
